"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta right-high",1,301123,1,333,105000,106044,5238,0.495256906322114,333,346,105000,101054.913294798,8.22896901364322,TRUE,NA
"Beta right-high",1,301123,1,800,105000,106044,5238,0.603786857935334,800,836,105000,100478.468899522,5.76592485048689,TRUE,NA
"Beta right-high",1,301123,2,333,105000,97975,5346,0.492599560237478,333,284,105000,123116.197183099,8.60380523542275,TRUE,NA
"Beta right-high",1,301123,2,800,105000,97975,5346,0.600998480277364,800,712,105000,117977.528089888,5.94382963363258,TRUE,NA
"Beta right-high",1,301123,3,333,105000,101566,5312,0.506593040590841,333,312,105000,112067.307692308,8.41816363435257,TRUE,NA
"Beta right-high",1,301123,3,800,105000,101566,5312,0.607074280646021,800,747,105000,112449.799196787,5.888212610817,TRUE,NA
"Beta right-high",1,301123,4,333,105000,106196,5293,0.49073381496942,333,315,105000,111000,8.40001361126789,TRUE,NA
"Beta right-high",1,301123,4,800,105000,106196,5293,0.601038383986403,800,796,105000,105527.638190955,5.81781582415392,TRUE,NA
"Beta right-high",1,301123,5,333,105000,102454,5170,0.509687381457894,333,348,105000,100474.137931034,8.21887030603124,TRUE,NA
"Beta right-high",1,301123,5,800,105000,102454,5170,0.614663040579838,800,779,105000,107830.55198973,5.84133010267284,TRUE,NA
"Beta right-high",1,301123,6,333,105000,100569,5159,0.497827134954684,333,342,105000,102236.842105263,8.24948259015833,TRUE,NA
"Beta right-high",1,301123,6,800,105000,100569,5159,0.605457354730858,800,829,105000,101326.899879373,5.77467688009813,TRUE,NA
"Beta right-high",1,301123,7,333,105000,106721,5302,0.49250388549094,333,350,105000,99900,8.20887480078011,TRUE,NA
"Beta right-high",1,301123,7,800,105000,106721,5302,0.602250936386332,800,866,105000,96997.6905311778,5.72987879490296,TRUE,NA
"Beta right-high",1,301123,8,333,105000,104521,5376,0.496272901385114,333,333,105000,105000,8.29724212937552,TRUE,NA
"Beta right-high",1,301123,8,800,105000,104521,5376,0.602653913842015,800,752,105000,111702.127659574,5.88064955883698,TRUE,NA
"Beta right-high",1,301123,9,333,105000,105699,5282,0.491502234412449,333,283,105000,123551.236749117,8.61103280503509,TRUE,NA
"Beta right-high",1,301123,9,800,105000,105699,5282,0.599332240084072,800,734,105000,114441.416893733,5.90831152657499,TRUE,NA
"Beta right-high",1,301123,10,333,105000,104497,5257,0.494686272524003,333,310,105000,112790.322580645,8.43043661025828,TRUE,NA
"Beta right-high",1,301123,10,800,105000,104497,5257,0.603017744360062,800,764,105000,109947.643979058,5.86286381634659,TRUE,NA
"Beta right-high",1,301123,11,333,105000,104683,5128,0.496782074557272,333,380,105000,92013.1578947368,8.07031513617271,TRUE,NA
"Beta right-high",1,301123,11,800,105000,104683,5128,0.597229354286224,800,817,105000,102815.17747858,5.78999732074268,TRUE,NA
"Beta right-high",1,301123,12,333,105000,104511,5311,0.49104998828187,333,281,105000,124430.604982206,8.62562377660617,TRUE,NA
"Beta right-high",1,301123,12,800,105000,104511,5311,0.604784749281739,800,793,105000,105926.860025221,5.82189894902144,TRUE,NA
"Beta right-high",1,301123,13,333,105000,112812,5135,0.502648378898687,333,372,105000,93991.935483871,8.1053018052113,TRUE,NA
"Beta right-high",1,301123,13,800,105000,112812,5135,0.602896037879984,800,851,105000,98707.4030552291,5.74761239207401,TRUE,NA
"Beta right-high",1,301123,14,333,105000,104165,5397,0.489698333125789,333,307,105000,113892.508143322,8.44911159979167,TRUE,NA
