"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta centre-high",10,204123,1,333,1050000,106225,14143,0.18519830752603,333,40,1050000,874125,16.9945343249956,TRUE,NA
"Beta centre-high",10,204123,1,800,1050000,106225,14143,0.236889667500942,800,88,1050000,954545.454545455,11.6155297136974,TRUE,NA
"Beta centre-high",10,204123,2,333,1050000,99247,14342,0.176689937446854,333,30,1050000,1165500,19.2911256866153,TRUE,NA
"Beta centre-high",10,204123,2,800,1050000,99247,14342,0.231181448523987,800,64,1050000,1312500,13.3241947934359,TRUE,NA
"Beta centre-high",10,204123,3,333,1050000,108388,14257,0.184170723876657,333,41,1050000,852804.87804878,16.8141796097176,TRUE,NA
"Beta centre-high",10,204123,3,800,1050000,108388,14257,0.23540212747588,800,80,1050000,1050000,12.0947991671389,TRUE,NA
"Beta centre-high",10,204123,4,333,1050000,105058,14114,0.174238211555471,333,25,1050000,1398600,20.9478924219945,TRUE,NA
"Beta centre-high",10,204123,4,800,1050000,105058,14114,0.226908790508643,800,80,1050000,1050000,12.0947991671389,TRUE,NA
"Beta centre-high",10,204123,5,333,1050000,102239,14506,0.176714596767782,333,30,1050000,1165500,19.2911256866153,TRUE,NA
"Beta centre-high",10,204123,5,800,1050000,102239,14506,0.230699203047714,800,69,1050000,1217391.30434783,12.8923117835906,TRUE,NA
"Beta centre-high",10,204123,6,333,1050000,99767,14173,0.180994304097175,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta centre-high",10,204123,6,800,1050000,99767,14173,0.237285382408027,800,73,1050000,1150684.93150685,12.580559139533,TRUE,NA
"Beta centre-high",10,204123,7,333,1050000,108770,13987,0.183331601549682,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta centre-high",10,204123,7,800,1050000,108770,13987,0.233198407293208,800,77,1050000,1090909.09090909,12.2944823707041,TRUE,NA
"Beta centre-high",10,204123,8,333,1050000,108825,14297,0.181050238324909,333,42,1050000,832500,16.6405959934941,TRUE,NA
"Beta centre-high",10,204123,8,800,1050000,108825,14297,0.234933610202505,800,91,1050000,923076.923076923,11.4531339284728,TRUE,NA
"Beta centre-high",10,204123,9,333,1050000,107832,14173,0.182848192443729,333,31,1050000,1127903.22580645,19.0103877415676,TRUE,NA
"Beta centre-high",10,204123,9,800,1050000,107832,14173,0.231749370866405,800,65,1050000,1292307.69230769,13.2336812996074,TRUE,NA
"Beta centre-high",10,204123,10,333,1050000,104572,14246,0.185392580924494,333,49,1050000,713571.428571429,15.5851156420642,TRUE,NA
"Beta centre-high",10,204123,10,800,1050000,104572,14246,0.240424007036721,800,95,1050000,884210.526315789,11.249325525922,TRUE,NA
"Beta centre-high",10,204123,11,333,1050000,107137,14191,0.178945567448812,333,26,1050000,1344807.69230769,20.5774046356395,TRUE,NA
"Beta centre-high",10,204123,11,800,1050000,107137,14191,0.231402135461935,800,78,1050000,1076923.07692308,12.226581496827,TRUE,NA
"Beta centre-high",10,204123,12,333,1050000,100139,14094,0.185842689065708,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta centre-high",10,204123,12,800,1050000,100139,14094,0.235592577941206,800,69,1050000,1217391.30434783,12.8923117835906,TRUE,NA
"Beta centre-high",10,204123,13,333,1050000,104003,14106,0.176431832344918,333,26,1050000,1344807.69230769,20.5774046356395,TRUE,NA
"Beta centre-high",10,204123,13,800,1050000,104003,14106,0.231742378470911,800,73,1050000,1150684.93150685,12.580559139533,TRUE,NA
"Beta centre-high",10,204123,14,333,1050000,106968,14223,0.181184302503738,333,41,1050000,852804.87804878,16.8141796097176,TRUE,NA
"Beta centre-high",10,204123,14,800,1050000,106968,14223,0.231789758614001,800,90,1050000,933333.333333333,11.5063147012645,TRUE,NA
"Beta centre-high",10,204123,15,333,1050000,105855,14163,0.182514258102035,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta centre-high",10,204123,15,800,1050000,105855,14163,0.232433367045701,800,74,1050000,1135135.13513514,12.5067702476922,TRUE,NA
"Beta centre-high",10,204123,16,333,1050000,104950,14080,0.184134654784538,333,43,1050000,813139.534883721,16.4733826659353,TRUE,NA
"Beta centre-high",10,204123,16,800,1050000,104950,14080,0.233243558048828,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta centre-high",10,204123,17,333,1050000,102525,14228,0.181181213013322,333,29,1050000,1205689.65517241,19.5867757206323,TRUE,NA
"Beta centre-high",10,204123,17,800,1050000,102525,14228,0.234191033979447,800,66,1050000,1272727.27272727,13.1453154548902,TRUE,NA
"Beta centre-high",10,204123,18,333,1050000,99709,14358,0.177853400807463,333,37,1050000,945000,17.5807982524607,TRUE,NA
"Beta centre-high",10,204123,18,800,1050000,99709,14358,0.231156246458208,800,80,1050000,1050000,12.0947991671389,TRUE,NA
"Beta centre-high",10,204123,19,333,1050000,101462,14433,0.18164670007026,333,24,1050000,1456875,21.341997647599,TRUE,NA
"Beta centre-high",10,204123,19,800,1050000,101462,14433,0.231933635300374,800,62,1050000,1354838.70967742,13.5120127839663,TRUE,NA
"Beta centre-high",10,204123,20,333,1050000,108186,14104,0.180166839142164,333,25,1050000,1398600,20.9478924219945,TRUE,NA
"Beta centre-high",10,204123,20,800,1050000,108186,14104,0.235328657456309,800,78,1050000,1076923.07692308,12.226581496827,TRUE,NA
"Beta centre-high",10,204123,21,333,1050000,99879,14407,0.182911748793773,333,31,1050000,1127903.22580645,19.0103877415676,TRUE,NA
"Beta centre-high",10,204123,21,800,1050000,99879,14407,0.23668657423128,800,71,1050000,1183098.5915493,12.7329979704687,TRUE,NA
"Beta centre-high",10,204123,22,333,1050000,109060,14122,0.17814718905455,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta centre-high",10,204123,22,800,1050000,109060,14122,0.232294566853894,800,79,1050000,1063291.13924051,12.1600347604124,TRUE,NA
"Beta centre-high",10,204123,23,333,1050000,107147,14224,0.179604543366375,333,33,1050000,1059545.45454545,18.489037291156,TRUE,NA
"Beta centre-high",10,204123,23,800,1050000,107147,14224,0.232836753862201,800,92,1050000,913043.47826087,11.4008692242012,TRUE,NA
"Beta centre-high",10,204123,24,333,1050000,103324,14444,0.177754857326558,333,31,1050000,1127903.22580645,19.0103877415676,TRUE,NA
"Beta centre-high",10,204123,24,800,1050000,103324,14444,0.233377265825302,800,86,1050000,976744.186046512,11.7287355098862,TRUE,NA
"Beta centre-high",10,204123,25,333,1050000,105768,14244,0.179293845928935,333,24,1050000,1456875,21.341997647599,TRUE,NA
"Beta centre-high",10,204123,25,800,1050000,105768,14244,0.233772936154411,800,74,1050000,1135135.13513514,12.5067702476922,TRUE,NA
"Beta centre-high",10,204123,26,333,1050000,105787,14143,0.179691802505229,333,41,1050000,852804.87804878,16.8141796097176,TRUE,NA
"Beta centre-high",10,204123,26,800,1050000,105787,14143,0.23259348991331,800,86,1050000,976744.186046512,11.7287355098862,TRUE,NA
"Beta centre-high",10,204123,27,333,1050000,104429,14258,0.183719255941124,333,27,1050000,1295000,20.2283110341379,TRUE,NA
"Beta centre-high",10,204123,27,800,1050000,104429,14258,0.235284865539208,800,63,1050000,1333333.33333333,13.4169417388458,TRUE,NA
"Beta centre-high",10,204123,28,333,1050000,101817,14173,0.181676362983987,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta centre-high",10,204123,28,800,1050000,101817,14173,0.236021190249668,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta centre-high",10,204123,29,333,1050000,108281,14221,0.182617865905071,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta centre-high",10,204123,29,800,1050000,108281,14221,0.236702586154596,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta centre-high",10,204123,30,333,1050000,98752,14286,0.183272732895535,333,34,1050000,1028382.35294118,18.2464200319481,TRUE,NA
"Beta centre-high",10,204123,30,800,1050000,98752,14286,0.236062395124818,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta centre-high",10,204123,31,333,1050000,107209,14080,0.179082100664534,333,26,1050000,1344807.69230769,20.5774046356395,TRUE,NA
"Beta centre-high",10,204123,31,800,1050000,107209,14080,0.234271066703247,800,73,1050000,1150684.93150685,12.580559139533,TRUE,NA
"Beta centre-high",10,204123,32,333,1050000,101991,14200,0.179322570821104,333,46,1050000,760108.695652174,16.0064206264636,TRUE,NA
"Beta centre-high",10,204123,32,800,1050000,101991,14200,0.232883831421603,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta centre-high",10,204123,33,333,1050000,105708,14119,0.185852326304733,333,27,1050000,1295000,20.2283110341379,TRUE,NA
"Beta centre-high",10,204123,33,800,1050000,105708,14119,0.236711534560238,800,64,1050000,1312500,13.3241947934359,TRUE,NA
"Beta centre-high",10,204123,34,333,1050000,101648,14409,0.178611080152188,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta centre-high",10,204123,34,800,1050000,101648,14409,0.231169587054768,800,73,1050000,1150684.93150685,12.580559139533,TRUE,NA
"Beta centre-high",10,204123,35,333,1050000,104701,14269,0.179080139117874,333,36,1050000,971250,17.793031633233,TRUE,NA
"Beta centre-high",10,204123,35,800,1050000,104701,14269,0.233829660775852,800,76,1050000,1105263.15789474,12.3637823606631,TRUE,NA
"Beta centre-high",10,204123,36,333,1050000,103311,14134,0.182348995075298,333,26,1050000,1344807.69230769,20.5774046356395,TRUE,NA
"Beta centre-high",10,204123,36,800,1050000,103311,14134,0.23635806515435,800,76,1050000,1105263.15789474,12.3637823606631,TRUE,NA
"Beta centre-high",10,204123,37,333,1050000,111582,14339,0.182128678257336,333,35,1050000,999000,18.0146740919102,TRUE,NA
"Beta centre-high",10,204123,37,800,1050000,111582,14339,0.23432321287327,800,69,1050000,1217391.30434783,12.8923117835906,TRUE,NA
"Beta centre-high",10,204123,38,333,1050000,105798,14256,0.177285775717757,333,34,1050000,1028382.35294118,18.2464200319481,TRUE,NA
"Beta centre-high",10,204123,38,800,1050000,105798,14256,0.23470850005395,800,93,1050000,903225.806451613,11.3494955224386,TRUE,NA
"Beta centre-high",10,204123,39,333,1050000,104944,14223,0.181685778990035,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta centre-high",10,204123,39,800,1050000,104944,14223,0.233360171165492,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta centre-high",10,204123,40,333,1050000,105532,14353,0.18493614587557,333,33,1050000,1059545.45454545,18.489037291156,TRUE,NA
"Beta centre-high",10,204123,40,800,1050000,105532,14353,0.235936316194059,800,80,1050000,1050000,12.0947991671389,TRUE,NA
"Beta centre-high",10,204123,41,333,1050000,102931,13985,0.180867692608607,333,27,1050000,1295000,20.2283110341379,TRUE,NA
"Beta centre-high",10,204123,41,800,1050000,102931,13985,0.233141207779982,800,64,1050000,1312500,13.3241947934359,TRUE,NA
"Beta centre-high",10,204123,42,333,1050000,109087,14090,0.182782024252991,333,43,1050000,813139.534883721,16.4733826659353,TRUE,NA
"Beta centre-high",10,204123,42,800,1050000,109087,14090,0.235183261587959,800,94,1050000,893617.021276596,11.2989886988539,TRUE,NA
"Beta centre-high",10,204123,43,333,1050000,107654,14081,0.184898574559155,333,40,1050000,874125,16.9945343249956,TRUE,NA
"Beta centre-high",10,204123,43,800,1050000,107654,14081,0.235702764664609,800,93,1050000,903225.806451613,11.3494955224386,TRUE,NA
"Beta centre-high",10,204123,44,333,1050000,107673,14188,0.186610883004467,333,34,1050000,1028382.35294118,18.2464200319481,TRUE,NA
"Beta centre-high",10,204123,44,800,1050000,107673,14188,0.236778757315394,800,87,1050000,965517.24137931,11.671619237666,TRUE,NA
