"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta left-high",2,402123,1,333,210000,99766,10488,0.0254149655839527,333,162,210000,215833.333333333,10.027092898003,TRUE,NA
"Beta left-high",2,402123,1,800,210000,99766,10488,0.0454426244906057,800,384,210000,218750,6.87937741079022,TRUE,NA
"Beta left-high",2,402123,2,333,210000,99743,10375,0.0230778404341747,333,148,210000,236250,10.3141536003213,TRUE,NA
"Beta left-high",2,402123,2,800,210000,99743,10375,0.0444748715261296,800,374,210000,224598.930481283,6.92980048831585,TRUE,NA
"Beta left-high",2,402123,3,333,210000,103420,10490,0.0242668698552956,333,155,210000,225580.64516129,10.1651525298793,TRUE,NA
"Beta left-high",2,402123,3,800,210000,103420,10490,0.0449244573780805,800,414,210000,202898.550724638,6.74082756532198,TRUE,NA
"Beta left-high",2,402123,4,333,210000,103658,10496,0.024045948846042,333,161,210000,217173.913043478,10.0461932176168,TRUE,NA
"Beta left-high",2,402123,4,800,210000,103658,10496,0.0449028319209844,800,424,210000,198113.20754717,6.69843806822168,TRUE,NA
"Beta left-high",2,402123,5,333,210000,102132,10545,0.0231054339715706,333,151,210000,231556.291390728,10.2488712786515,TRUE,NA
"Beta left-high",2,402123,5,800,210000,102132,10545,0.0444539841732652,800,387,210000,217054.263565891,6.86468937207488,TRUE,NA
"Beta left-high",2,402123,6,333,210000,103714,10532,0.0243172921703445,333,183,210000,191065.573770492,9.66741980399235,TRUE,NA
"Beta left-high",2,402123,6,800,210000,103714,10532,0.0462929267450757,800,423,210000,198581.560283688,6.7025986626053,TRUE,NA
"Beta left-high",2,402123,7,333,210000,109982,10539,0.024926927945786,333,178,210000,196432.584269663,9.74648512051155,TRUE,NA
"Beta left-high",2,402123,7,800,210000,109982,10539,0.0454220864740681,800,426,210000,197183.098591549,6.69016780784906,TRUE,NA
"Beta left-high",2,402123,8,333,210000,103489,10420,0.0239073095465887,333,172,210000,203284.88372093,9.84650861001883,TRUE,NA
"Beta left-high",2,402123,8,800,210000,103489,10420,0.045786982635157,800,417,210000,201438.848920863,6.72792555258646,TRUE,NA
"Beta left-high",2,402123,9,333,210000,105828,10348,0.0244830911544226,333,172,210000,203284.88372093,9.84650861001883,TRUE,NA
"Beta left-high",2,402123,9,800,210000,105828,10348,0.044110250860972,800,409,210000,205378.973105134,6.76269507253102,TRUE,NA
"Beta left-high",2,402123,10,333,210000,106009,10567,0.0241641706071962,333,172,210000,203284.88372093,9.84650861001883,TRUE,NA
