"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta left-high",10,404123,1,333,1050000,106638,52341,0.00838841525995357,333,35,1050000,999000,18.0146740919102,TRUE,NA
"Beta left-high",10,404123,1,800,1050000,106638,52341,0.0149854962535949,800,85,1050000,988235.294117647,11.7869090824081,TRUE,NA
"Beta left-high",10,404123,2,333,1050000,109479,52512,0.00806064226294625,333,37,1050000,945000,17.5807982524607,TRUE,NA
"Beta left-high",10,404123,2,800,1050000,109479,52512,0.0152843402875005,800,81,1050000,1037037.03703704,12.030833596093,TRUE,NA
"Beta left-high",10,404123,3,333,1050000,105782,52238,0.00808063880891037,333,31,1050000,1127903.22580645,19.0103877415676,TRUE,NA
"Beta left-high",10,404123,3,800,1050000,105782,52238,0.0146577368831306,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta left-high",10,404123,4,333,1050000,98052,52787,0.00747109645151685,333,20,1050000,1748250,23.2123716350453,TRUE,NA
"Beta left-high",10,404123,4,800,1050000,98052,52787,0.0138374194501591,800,67,1050000,1253731.34328358,13.0590159750537,TRUE,NA
"Beta left-high",10,404123,5,333,1050000,99040,52625,0.00794597429816312,333,31,1050000,1127903.22580645,19.0103877415676,TRUE,NA
"Beta left-high",10,404123,5,800,1050000,99040,52625,0.0146424674156122,800,79,1050000,1063291.13924051,12.1600347604124,TRUE,NA
"Beta left-high",10,404123,6,333,1050000,105449,52934,0.00772136164679038,333,38,1050000,920131.578947368,17.3773442061869,TRUE,NA
"Beta left-high",10,404123,6,800,1050000,105449,52934,0.0144617276241133,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta left-high",10,404123,7,333,1050000,106720,52585,0.00844812861145158,333,27,1050000,1295000,20.2283110341379,TRUE,NA
"Beta left-high",10,404123,7,800,1050000,106720,52585,0.0145503199579552,800,65,1050000,1292307.69230769,13.2336812996074,TRUE,NA
"Beta left-high",10,404123,8,333,1050000,102736,52368,0.00790058246296081,333,33,1050000,1059545.45454545,18.489037291156,TRUE,NA
"Beta left-high",10,404123,8,800,1050000,102736,52368,0.0145722405488163,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta left-high",10,404123,9,333,1050000,104704,52413,0.00804302980379001,333,33,1050000,1059545.45454545,18.489037291156,TRUE,NA
"Beta left-high",10,404123,9,800,1050000,104704,52413,0.0143961557564331,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
