"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta right-high",2,302123,1,333,210000,108998,10438,0.431588146954459,333,166,210000,210632.530120482,9.95264591849202,TRUE,NA
"Beta right-high",2,302123,1,800,210000,108998,10438,0.515018191868249,800,383,210000,219321.148825065,6.88431750196318,TRUE,NA
"Beta right-high",2,302123,2,333,210000,108603,10438,0.427594466186921,333,156,210000,224134.615384615,10.144789846321,TRUE,NA
"Beta right-high",2,302123,2,800,210000,108603,10438,0.519850648610004,800,385,210000,218181.818181818,6.87445946001938,TRUE,NA
"Beta right-high",2,302123,3,333,210000,106036,10397,0.431423906742536,333,190,210000,184026.315789474,9.56272847417632,TRUE,NA
"Beta right-high",2,302123,3,800,210000,106036,10397,0.515600758374467,800,417,210000,201438.848920863,6.72792555258646,TRUE,NA
"Beta right-high",2,302123,4,333,210000,102615,10482,0.426646643847512,333,166,210000,210632.530120482,9.95264591849202,TRUE,NA
"Beta right-high",2,302123,4,800,210000,102615,10482,0.512233551311988,800,394,210000,213197.969543147,6.83116955969639,TRUE,NA
"Beta right-high",2,302123,5,333,210000,102321,10520,0.429591844191116,333,162,210000,215833.333333333,10.027092898003,TRUE,NA
"Beta right-high",2,302123,5,800,210000,102321,10520,0.516843733105846,800,391,210000,214833.759590793,6.84540827589973,TRUE,NA
"Beta right-high",2,302123,6,333,210000,104699,10382,0.432974997276013,333,169,210000,206893.49112426,9.898777427369,TRUE,NA
"Beta right-high",2,302123,6,800,210000,104699,10382,0.517695977291188,800,389,210000,215938.303341902,6.8550060370112,TRUE,NA
"Beta right-high",2,302123,7,333,210000,104480,10588,0.438410546562936,333,200,210000,174825,9.42412844370524,TRUE,NA
"Beta right-high",2,302123,7,800,210000,104480,10588,0.517065237342064,800,404,210000,207920.792079208,6.78503073986764,TRUE,NA
"Beta right-high",2,302123,8,333,210000,100874,10536,0.431268678575779,333,168,210000,208125,9.91655214513914,TRUE,NA
"Beta right-high",2,302123,8,800,210000,100874,10536,0.522466787350041,800,401,210000,209476.309226933,6.79866330639878,TRUE,NA
