"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta centre-high",1,201123,1,333,105000,102891,1432,0.373085672704507,333,334,105000,104685.628742515,8.29182227763796,TRUE,NA
"Beta centre-high",1,201123,1,800,105000,102891,1432,0.524969051354102,800,791,105000,106194.690265487,5.82463663459186,TRUE,NA
"Beta centre-high",1,201123,2,333,105000,109815,1456,0.369442399044859,333,347,105000,100763.688760807,8.2239066584859,TRUE,NA
"Beta centre-high",1,201123,2,800,105000,109815,1456,0.52946508911392,800,815,105000,103067.484662577,5.79259057276887,TRUE,NA
"Beta centre-high",1,201123,3,333,105000,110155,1453,0.364839382574963,333,353,105000,99050.9915014164,8.19407156555708,TRUE,NA
"Beta centre-high",1,201123,3,800,105000,110155,1453,0.519778166444985,800,821,105000,102314.25091352,5.7848452753137,TRUE,NA
"Beta centre-high",1,201123,4,333,105000,107881,1491,0.36767621300205,333,298,105000,117332.214765101,8.50712900474184,TRUE,NA
"Beta centre-high",1,201123,4,800,105000,107881,1491,0.518698034316778,800,736,105000,114130.434782609,5.90517767854306,TRUE,NA
"Beta centre-high",1,201123,5,333,105000,106280,1388,0.370196073080832,333,312,105000,112067.307692308,8.41816363435257,TRUE,NA
"Beta centre-high",1,201123,5,800,105000,106280,1388,0.518193384472916,800,746,105000,112600.536193029,5.88973621062009,TRUE,NA
"Beta centre-high",1,201123,6,333,105000,100371,1441,0.352974181106163,333,277,105000,126227.436823105,8.65536134173179,TRUE,NA
"Beta centre-high",1,201123,6,800,105000,100371,1441,0.511662612960093,800,721,105000,116504.854368932,5.92906336730642,TRUE,NA
"Beta centre-high",1,201123,7,333,105000,101163,1396,0.370858879842238,333,328,105000,106600.609756098,8.3247823876365,TRUE,NA
"Beta centre-high",1,201123,7,800,105000,101163,1396,0.533192402546894,800,802,105000,104738.154613466,5.80973276696946,TRUE,NA
"Beta centre-high",1,201123,8,333,105000,110514,1435,0.383644328447826,333,376,105000,92992.0212765957,8.08764128805829,TRUE,NA
"Beta centre-high",1,201123,8,800,105000,110514,1435,0.5281178167093,800,817,105000,102815.17747858,5.78999732074268,TRUE,NA
"Beta centre-high",1,201123,9,333,105000,106802,1397,0.36132835113756,333,282,105000,123989.361702128,8.61830550811791,TRUE,NA
"Beta centre-high",1,201123,9,800,105000,106802,1397,0.529279130487672,800,794,105000,105793.450881612,5.82053479774077,TRUE,NA
"Beta centre-high",1,201123,10,333,105000,104132,1379,0.368474805931242,333,338,105000,103446.74556213,8.2704289937114,TRUE,NA
"Beta centre-high",1,201123,10,800,105000,104132,1379,0.531142369311259,800,828,105000,101449.275362319,5.77593815578165,TRUE,NA
"Beta centre-high",1,201123,11,333,105000,105949,1371,0.372711782848969,333,368,105000,95013.5869565217,8.12330659072599,TRUE,NA
"Beta centre-high",1,201123,11,800,105000,105949,1371,0.524319220585986,800,841,105000,99881.0939357907,5.75975462275534,TRUE,NA
"Beta centre-high",1,201123,12,333,105000,106050,1406,0.371221843097675,333,346,105000,101054.913294798,8.22896901364322,TRUE,NA
"Beta centre-high",1,201123,12,800,105000,106050,1406,0.531360379647934,800,834,105000,100719.424460432,5.7684117889836,TRUE,NA
"Beta centre-high",1,201123,13,333,105000,104216,1473,0.36053959686083,333,265,105000,131943.396226415,8.74928831277481,TRUE,NA
"Beta centre-high",1,201123,13,800,105000,104216,1473,0.520791294886771,800,712,105000,117977.528089888,5.94382963363258,TRUE,NA
"Beta centre-high",1,201123,14,333,105000,106599,1424,0.374884559915267,333,368,105000,95013.5869565217,8.12330659072599,TRUE,NA
"Beta centre-high",1,201123,14,800,105000,106599,1424,0.527458597045966,800,814,105000,103194.103194103,5.79389154009948,TRUE,NA
"Beta centre-high",1,201123,15,333,105000,106088,1384,0.376025374588964,333,368,105000,95013.5869565217,8.12330659072599,TRUE,NA
"Beta centre-high",1,201123,15,800,105000,106088,1384,0.543824951943159,800,874,105000,96109.8398169336,5.7206480831002,TRUE,NA
"Beta centre-high",1,201123,16,333,105000,107003,1394,0.374714727639274,333,361,105000,96855.9556786704,8.15567458573384,TRUE,NA
"Beta centre-high",1,201123,16,800,105000,107003,1394,0.540624315842419,800,901,105000,93229.7447280799,5.69060155235976,TRUE,NA
"Beta centre-high",1,201123,17,333,105000,106290,1462,0.367178106995338,333,352,105000,99332.3863636364,8.19898090207222,TRUE,NA
"Beta centre-high",1,201123,17,800,105000,106290,1462,0.520464586854867,800,798,105000,105263.157894737,5.81510921773839,TRUE,NA
"Beta centre-high",1,201123,18,333,105000,105084,1433,0.368098793245238,333,333,105000,105000,8.29724212937552,TRUE,NA
"Beta centre-high",1,201123,18,800,105000,105084,1433,0.528457572460763,800,834,105000,100719.424460432,5.7684117889836,TRUE,NA
"Beta centre-high",1,201123,19,333,105000,103332,1438,0.365027846718407,333,320,105000,109265.625,8.37043588610856,TRUE,NA
"Beta centre-high",1,201123,19,800,105000,103332,1438,0.521567731071707,800,792,105000,106060.606060606,5.82326622435268,TRUE,NA
"Beta centre-high",1,201123,20,333,105000,98969,1345,0.381721098275112,333,331,105000,105634.441087613,8.30816931014239,TRUE,NA
"Beta centre-high",1,201123,20,800,105000,98969,1345,0.553198130309135,800,837,105000,100358.422939068,5.76468543770552,TRUE,NA
"Beta centre-high",1,201123,21,333,105000,104700,1440,0.371690479395664,333,336,105000,104062.5,8.28106887336163,TRUE,NA
"Beta centre-high",1,201123,21,800,105000,104700,1440,0.52748834087818,800,773,105000,108667.529107374,5.8498527760487,TRUE,NA
"Beta centre-high",1,201123,22,333,105000,104152,1447,0.358741719541985,333,276,105000,126684.782608696,8.66291411601345,TRUE,NA
"Beta centre-high",1,201123,22,800,105000,104152,1447,0.523232903288441,800,755,105000,111258.278145695,5.87615520608559,TRUE,NA
"Beta centre-high",1,201123,23,333,105000,103207,1389,0.373367397765045,333,331,105000,105634.441087613,8.30816931014239,TRUE,NA
"Beta centre-high",1,201123,23,800,105000,103207,1389,0.537833231735293,800,823,105000,102065.613608748,5.78228632810412,TRUE,NA
"Beta centre-high",1,201123,24,333,105000,102819,1380,0.364695853238037,333,288,105000,121406.25,8.57533784440452,TRUE,NA
"Beta centre-high",1,201123,24,800,105000,102819,1380,0.528404678861946,800,759,105000,110671.936758893,5.87021272697668,TRUE,NA
"Beta centre-high",1,201123,25,333,105000,107666,1393,0.376687456155001,333,358,105000,97667.5977653631,8.16989337857654,TRUE,NA
"Beta centre-high",1,201123,25,800,105000,107666,1393,0.533219167219313,800,823,105000,102065.613608748,5.78228632810412,TRUE,NA
"Beta centre-high",1,201123,26,333,105000,103907,1404,0.370174056214323,333,320,105000,109265.625,8.37043588610856,TRUE,NA
"Beta centre-high",1,201123,26,800,105000,103907,1404,0.530298968104664,800,786,105000,106870.229007634,5.83153609299099,TRUE,NA
"Beta centre-high",1,201123,27,333,105000,99903,1444,0.366489568977386,333,299,105000,116939.799331104,8.50053015858222,TRUE,NA
"Beta centre-high",1,201123,27,800,105000,99903,1444,0.519634849492723,800,741,105000,113360.32388664,5.89740990152418,TRUE,NA
"Beta centre-high",1,201123,28,333,105000,111724,1367,0.376020002938522,333,367,105000,95272.4795640327,8.12786277730646,TRUE,NA
"Beta centre-high",1,201123,28,800,105000,111724,1367,0.539393504107215,800,846,105000,99290.780141844,5.75365082905551,TRUE,NA
"Beta centre-high",1,201123,29,333,105000,109717,1349,0.375923962436249,333,294,105000,118928.571428571,8.53392069131363,TRUE,NA
"Beta centre-high",1,201123,29,800,105000,109717,1349,0.54570775313372,800,822,105000,102189.781021898,5.78356438669775,TRUE,NA
"Beta centre-high",1,201123,30,333,105000,103108,1436,0.359984993856617,333,325,105000,107584.615384615,8.34166816006756,TRUE,NA
"Beta centre-high",1,201123,30,800,105000,103108,1436,0.51138509959448,800,738,105000,113821.138211382,5.90205916564541,TRUE,NA
"Beta centre-high",1,201123,31,333,105000,105680,1421,0.377401563403295,333,371,105000,94245.2830188679,8.10977033096673,TRUE,NA
"Beta centre-high",1,201123,31,800,105000,105680,1421,0.535097711427871,800,802,105000,104738.154613466,5.80973276696946,TRUE,NA
"Beta centre-high",1,201123,32,333,105000,107612,1464,0.357026172323626,333,336,105000,104062.5,8.28106887336163,TRUE,NA
"Beta centre-high",1,201123,32,800,105000,107612,1464,0.519251515071471,800,828,105000,101449.275362319,5.77593815578165,TRUE,NA
"Beta centre-high",1,201123,33,333,105000,100898,1425,0.372802403146051,333,351,105000,99615.3846153846,8.20391524904314,TRUE,NA
"Beta centre-high",1,201123,33,800,105000,100898,1425,0.531174067069067,800,799,105000,105131.414267835,5.81376052560807,TRUE,NA
"Beta centre-high",1,201123,34,333,105000,105313,1502,0.360191231620715,333,297,105000,117727.272727273,8.51376712116838,TRUE,NA
"Beta centre-high",1,201123,34,800,105000,105313,1502,0.517268062073876,800,791,105000,106194.690265487,5.82463663459186,TRUE,NA
"Beta centre-high",1,201123,35,333,105000,108419,1457,0.355538507727699,333,311,105000,112427.652733119,8.4242826258066,TRUE,NA
"Beta centre-high",1,201123,35,800,105000,108419,1457,0.515399212679711,800,749,105000,112149.53271028,5.88517644084576,TRUE,NA
"Beta centre-high",1,201123,36,333,105000,104748,1460,0.382702169343806,333,370,105000,94500,8.11426053010877,TRUE,NA
"Beta centre-high",1,201123,36,800,105000,104748,1460,0.529363585007511,800,785,105000,107006.369426752,5.83292554355092,TRUE,NA
"Beta centre-high",1,201123,37,333,105000,104963,1427,0.38589179806838,333,383,105000,91292.4281984334,8.05753420705532,TRUE,NA
"Beta centre-high",1,201123,37,800,105000,104963,1427,0.528932454734828,800,780,105000,107692.307692308,5.83992120785348,TRUE,NA
"Beta centre-high",1,201123,38,333,105000,109635,1369,0.381969565676478,333,381,105000,91771.6535433071,8.06603471871768,TRUE,NA
"Beta centre-high",1,201123,38,800,105000,109635,1369,0.547820606781715,800,879,105000,95563.1399317406,5.71495679520084,TRUE,NA
"Beta centre-high",1,201123,39,333,105000,112622,1467,0.355754185876308,333,324,105000,107916.666666667,8.34735853155465,TRUE,NA
"Beta centre-high",1,201123,39,800,105000,112622,1467,0.520314183332257,800,830,105000,101204.819277108,5.77341836908676,TRUE,NA
"Beta centre-high",1,201123,40,333,105000,104416,1419,0.378004726321939,333,338,105000,103446.74556213,8.2704289937114,TRUE,NA
"Beta centre-high",1,201123,40,800,105000,104416,1419,0.535340951379271,800,816,105000,102941.176470588,5.7912925029054,TRUE,NA
"Beta centre-high",1,201123,41,333,105000,106427,1475,0.361083906982896,333,324,105000,107916.666666667,8.34735853155465,TRUE,NA
"Beta centre-high",1,201123,41,800,105000,106427,1475,0.51716851741894,800,769,105000,109232.769830949,5.85560142630756,TRUE,NA
"Beta centre-high",1,201123,42,333,105000,96199,1361,0.36477062081073,333,298,105000,117332.214765101,8.50712900474184,TRUE,NA
"Beta centre-high",1,201123,42,800,105000,96199,1361,0.539452844244756,800,780,105000,107692.307692308,5.83992120785348,TRUE,NA
"Beta centre-high",1,201123,43,333,105000,105065,1457,0.3763798738307,333,320,105000,109265.625,8.37043588610856,TRUE,NA
"Beta centre-high",1,201123,43,800,105000,105065,1457,0.522335168298867,800,748,105000,112299.465240642,5.88669269205071,TRUE,NA
"Beta centre-high",1,201123,44,333,105000,107834,1406,0.373842950528993,333,369,105000,94756.0975609756,8.11877256278091,TRUE,NA
"Beta centre-high",1,201123,44,800,105000,107834,1406,0.526728316955495,800,842,105000,99762.4703087886,5.75852858410845,TRUE,NA
"Beta centre-high",1,201123,45,333,105000,102586,1418,0.36803550070036,333,317,105000,110299.684542587,8.38808310929113,TRUE,NA
"Beta centre-high",1,201123,45,800,105000,102586,1418,0.53101592116982,800,803,105000,104607.721046077,5.80839625180282,TRUE,NA
"Beta centre-high",1,201123,46,333,105000,102904,1394,0.376471411132083,333,372,105000,93991.935483871,8.1053018052113,TRUE,NA
"Beta centre-high",1,201123,46,800,105000,102904,1394,0.539500996127156,800,878,105000,95671.9817767654,5.71609031887313,TRUE,NA
"Beta centre-high",1,201123,47,333,105000,100938,1425,0.366169938819023,333,315,105000,111000,8.40001361126789,TRUE,NA
"Beta centre-high",1,201123,47,800,105000,100938,1425,0.536437899934812,800,747,105000,112449.799196787,5.888212610817,TRUE,NA
"Beta centre-high",1,201123,48,333,105000,103514,1344,0.367032721587252,333,331,105000,105634.441087613,8.30816931014239,TRUE,NA
"Beta centre-high",1,201123,48,800,105000,103514,1344,0.546895070098254,800,867,105000,96885.8131487889,5.72871645905781,TRUE,NA
"Beta centre-high",1,201123,49,333,105000,96532,1408,0.372819918753673,333,309,105000,113155.339805825,8.43662589370772,TRUE,NA
"Beta centre-high",1,201123,49,800,105000,96532,1408,0.530789813154238,800,730,105000,115068.493150685,5.91462568810659,TRUE,NA
"Beta centre-high",1,201123,50,333,105000,107896,1365,0.381487518984335,333,366,105000,95532.7868852459,8.13244128752484,TRUE,NA
