"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta left-high",1,401123,1,333,105000,106999,5272,0.0416006756608436,333,371,105000,94245.2830188679,8.10977033096673,TRUE,NA
"Beta left-high",1,401123,1,800,105000,106999,5272,0.0751119445967853,800,821,105000,102314.25091352,5.7848452753137,TRUE,NA
"Beta left-high",1,401123,2,333,105000,105028,5309,0.0390350829101071,333,286,105000,122255.244755245,8.58948379639248,TRUE,NA
"Beta left-high",1,401123,2,800,105000,105028,5309,0.0738934043683582,800,769,105000,109232.769830949,5.85560142630756,TRUE,NA
"Beta left-high",1,401123,3,333,105000,104167,5285,0.0398466802420314,333,353,105000,99050.9915014164,8.19407156555708,TRUE,NA
"Beta left-high",1,401123,3,800,105000,104167,5285,0.0760519454079526,800,853,105000,98475.9671746776,5.74521508030647,TRUE,NA
"Beta left-high",1,401123,4,333,105000,103129,5296,0.0365641413191736,333,316,105000,110648.734177215,8.39403160249634,TRUE,NA
"Beta left-high",1,401123,4,800,105000,103129,5296,0.0691703163920675,800,722,105000,116343.490304709,5.92744315922889,TRUE,NA
"Beta left-high",1,401123,5,333,105000,111368,5164,0.0371095549219873,333,307,105000,113892.508143322,8.44911159979167,TRUE,NA
"Beta left-high",1,401123,5,800,105000,111368,5164,0.0728879803030241,800,790,105000,106329.113924051,5.82601019064722,TRUE,NA
"Beta left-high",1,401123,6,333,105000,103430,5215,0.0401550207012275,333,350,105000,99900,8.20887480078011,TRUE,NA
"Beta left-high",1,401123,6,800,105000,103430,5215,0.0754617892286374,800,827,105000,101571.946795647,5.77720220534795,TRUE,NA
"Beta left-high",1,401123,7,333,105000,105513,5328,0.039107384116198,333,309,105000,113155.339805825,8.43662589370772,TRUE,NA
"Beta left-high",1,401123,7,800,105000,105513,5328,0.0707240008596197,800,737,105000,113975.576662144,5.90361651232798,TRUE,NA
"Beta left-high",1,401123,8,333,105000,104055,5340,0.0396263593019373,333,338,105000,103446.74556213,8.2704289937114,TRUE,NA
"Beta left-high",1,401123,8,800,105000,104055,5340,0.075732498578902,800,841,105000,99881.0939357907,5.75975462275534,TRUE,NA
"Beta left-high",1,401123,9,333,105000,103867,5221,0.0416241235181058,333,364,105000,96057.6923076923,8.14166594721139,TRUE,NA
"Beta left-high",1,401123,9,800,105000,103867,5221,0.0771261711348035,800,830,105000,101204.819277108,5.77341836908676,TRUE,NA
"Beta left-high",1,401123,10,333,105000,109910,5315,0.0388457518872182,333,322,105000,108586.956521739,8.3588335038193,TRUE,NA
"Beta left-high",1,401123,10,800,105000,109910,5315,0.0709605195476405,800,743,105000,113055.181695828,5.89432923200836,TRUE,NA
"Beta left-high",1,401123,11,333,105000,104363,5229,0.0412240537901287,333,370,105000,94500,8.11426053010877,TRUE,NA
