"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"Beta right-high",10,304123,21,800,1050000,107447,52658,0.367755459369718,800,89,1050000,943820.224719101,11.5604375979122,TRUE,NA
"Beta right-high",10,304123,22,333,1050000,100409,52567,0.300379726504869,333,35,1050000,999000,18.0146740919102,TRUE,NA
"Beta right-high",10,304123,22,800,1050000,100409,52567,0.3666728652086,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta right-high",10,304123,23,333,1050000,106505,52423,0.305034116175963,333,25,1050000,1398600,20.9478924219945,TRUE,NA
"Beta right-high",10,304123,23,800,1050000,106505,52423,0.368189754066341,800,73,1050000,1150684.93150685,12.580559139533,TRUE,NA
"Beta right-high",10,304123,24,333,1050000,98465,52223,0.307150721740409,333,35,1050000,999000,18.0146740919102,TRUE,NA
"Beta right-high",10,304123,24,800,1050000,98465,52223,0.366622176335309,800,77,1050000,1090909.09090909,12.2944823707041,TRUE,NA
"Beta right-high",10,304123,25,333,1050000,111200,52612,0.308208409936743,333,30,1050000,1165500,19.2911256866153,TRUE,NA
"Beta right-high",10,304123,25,800,1050000,111200,52612,0.367570360750817,800,76,1050000,1105263.15789474,12.3637823606631,TRUE,NA
"Beta right-high",10,304123,26,333,1050000,106091,52278,0.307682013032038,333,44,1050000,794659.090909091,16.312171044842,TRUE,NA
"Beta right-high",10,304123,26,800,1050000,106091,52278,0.367471445028674,800,87,1050000,965517.24137931,11.671619237666,TRUE,NA
"Beta right-high",10,304123,27,333,1050000,107124,52535,0.308931131121522,333,24,1050000,1456875,21.341997647599,TRUE,NA
"Beta right-high",10,304123,27,800,1050000,107124,52535,0.371418034713018,800,65,1050000,1292307.69230769,13.2336812996074,TRUE,NA
"Beta right-high",10,304123,28,333,1050000,109285,52437,0.309789737600473,333,43,1050000,813139.534883721,16.4733826659353,TRUE,NA
"Beta right-high",10,304123,28,800,1050000,109285,52437,0.374393167745199,800,99,1050000,848484.848484849,11.0586738763527,TRUE,NA
"Beta right-high",10,304123,29,333,1050000,103497,52753,0.305253743609614,333,34,1050000,1028382.35294118,18.2464200319481,TRUE,NA
"Beta right-high",10,304123,29,800,1050000,103497,52753,0.372023118682824,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta right-high",10,304123,30,333,1050000,106629,52957,0.30292294837188,333,22,1050000,1589318.18181818,22.211700778394,TRUE,NA
"Beta right-high",10,304123,30,800,1050000,106629,52957,0.366378629644815,800,70,1050000,1200000,12.8117645057411,TRUE,NA
"Beta right-high",10,304123,31,333,1050000,103916,52601,0.302283640908363,333,36,1050000,971250,17.793031633233,TRUE,NA
"Beta right-high",10,304123,31,800,1050000,103916,52601,0.367400526130659,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta right-high",10,304123,32,333,1050000,104446,52478,0.304361403284942,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta right-high",10,304123,32,800,1050000,104446,52478,0.366724295909674,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta right-high",10,304123,33,333,1050000,105945,52440,0.303574605221922,333,36,1050000,971250,17.793031633233,TRUE,NA
"Beta right-high",10,304123,33,800,1050000,105945,52440,0.368120449452718,800,75,1050000,1120000,12.4345285486325,TRUE,NA
"Beta right-high",10,304123,34,333,1050000,108445,52541,0.304960512588029,333,34,1050000,1028382.35294118,18.2464200319481,TRUE,NA
"Beta right-high",10,304123,34,800,1050000,108445,52541,0.369781807244592,800,96,1050000,875000,11.2004836306336,TRUE,NA
"Beta right-high",10,304123,35,333,1050000,99219,52824,0.302401980687744,333,29,1050000,1205689.65517241,19.5867757206323,TRUE,NA
"Beta right-high",10,304123,35,800,1050000,99219,52824,0.367584089110021,800,70,1050000,1200000,12.8117645057411,TRUE,NA
"Beta right-high",10,304123,36,333,1050000,103494,52648,0.30223509241512,333,16,1050000,2185312.5,25.7645919223157,TRUE,NA
"Beta right-high",10,304123,36,800,1050000,103494,52648,0.366948935201559,800,66,1050000,1272727.27272727,13.1453154548902,TRUE,NA
"Beta right-high",10,304123,37,333,1050000,109743,52175,0.306589154759167,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta right-high",10,304123,37,800,1050000,109743,52175,0.3670753653403,800,84,1050000,1e+06,11.8461717842113,TRUE,NA
"Beta right-high",10,304123,38,333,1050000,107405,51998,0.308833914785934,333,34,1050000,1028382.35294118,18.2464200319481,TRUE,NA
"Beta right-high",10,304123,38,800,1050000,107405,51998,0.36892876046165,800,73,1050000,1150684.93150685,12.580559139533,TRUE,NA
"Beta right-high",10,304123,39,333,1050000,112128,52989,0.307427792561122,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta right-high",10,304123,39,800,1050000,112128,52989,0.368044273650197,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta right-high",10,304123,40,333,1050000,106863,52439,0.310170369486788,333,33,1050000,1059545.45454545,18.489037291156,TRUE,NA
"Beta right-high",10,304123,40,800,1050000,106863,52439,0.371204544723129,800,86,1050000,976744.186046512,11.7287355098862,TRUE,NA
"Beta right-high",10,304123,41,333,1050000,109862,53023,0.309864680419329,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta right-high",10,304123,41,800,1050000,109862,53023,0.366426046946222,800,67,1050000,1253731.34328358,13.0590159750537,TRUE,NA
"Beta right-high",10,304123,42,333,1050000,105080,52258,0.306942561030099,333,38,1050000,920131.578947368,17.3773442061869,TRUE,NA
"Beta right-high",10,304123,42,800,1050000,105080,52258,0.366568159562947,800,87,1050000,965517.24137931,11.671619237666,TRUE,NA
"Beta right-high",10,304123,43,333,1050000,105713,52325,0.304120262337797,333,25,1050000,1398600,20.9478924219945,TRUE,NA
"Beta right-high",10,304123,43,800,1050000,105713,52325,0.369309187110058,800,82,1050000,1024390.24390244,11.9680986963519,TRUE,NA
"Beta right-high",10,304123,44,333,1050000,107171,52585,0.307263838112932,333,38,1050000,920131.578947368,17.3773442061869,TRUE,NA
"Beta right-high",10,304123,44,800,1050000,107171,52585,0.365816045305338,800,80,1050000,1050000,12.0947991671389,TRUE,NA
"Beta right-high",10,304123,45,333,1050000,99810,52334,0.304338031672156,333,29,1050000,1205689.65517241,19.5867757206323,TRUE,NA
"Beta right-high",10,304123,45,800,1050000,99810,52334,0.366997897702931,800,67,1050000,1253731.34328358,13.0590159750537,TRUE,NA
"Beta right-high",10,304123,46,333,1050000,112116,52560,0.30948088453372,333,34,1050000,1028382.35294118,18.2464200319481,TRUE,NA
"Beta right-high",10,304123,46,800,1050000,112116,52560,0.371238637128309,800,77,1050000,1090909.09090909,12.2944823707041,TRUE,NA
"Beta right-high",10,304123,47,333,1050000,103057,52621,0.307873264172436,333,28,1050000,1248750,19.8986696556908,TRUE,NA
"Beta right-high",10,304123,47,800,1050000,103057,52621,0.365736433827007,800,71,1050000,1183098.5915493,12.7329979704687,TRUE,NA
"Beta right-high",10,304123,48,333,1050000,103332,52343,0.313774102436186,333,36,1050000,971250,17.793031633233,TRUE,NA
"Beta right-high",10,304123,48,800,1050000,103332,52343,0.377285680261704,800,94,1050000,893617.021276596,11.2989886988539,TRUE,NA
"Beta right-high",10,304123,49,333,1050000,102639,52497,0.31239420805377,333,27,1050000,1295000,20.2283110341379,TRUE,NA
"Beta right-high",10,304123,49,800,1050000,102639,52497,0.370240655498372,800,74,1050000,1135135.13513514,12.5067702476922,TRUE,NA
"Beta right-high",10,304123,50,333,1050000,101852,52392,0.306420849430055,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta right-high",10,304123,50,800,1050000,101852,52392,0.37189730589573,800,90,1050000,933333.333333333,11.5063147012645,TRUE,NA
"Beta right-high",10,304123,51,333,1050000,102232,52259,0.30634463795163,333,38,1050000,920131.578947368,17.3773442061869,TRUE,NA
"Beta right-high",10,304123,51,800,1050000,102232,52259,0.367112231565565,800,84,1050000,1e+06,11.8461717842113,TRUE,NA
"Beta right-high",10,304123,52,333,1050000,101264,52369,0.314273414869219,333,50,1050000,699300,15.4536143643956,TRUE,NA
"Beta right-high",10,304123,52,800,1050000,101264,52369,0.372642418597561,800,105,1050000,8e+05,10.7945477965276,TRUE,NA
"Beta right-high",10,304123,53,333,1050000,107436,52725,0.301829677933114,333,35,1050000,999000,18.0146740919102,TRUE,NA
"Beta right-high",10,304123,53,800,1050000,107436,52725,0.363439264852032,800,83,1050000,1012048.19277108,11.9065567904524,TRUE,NA
"Beta right-high",10,304123,54,333,1050000,107580,52205,0.306919468524,333,45,1050000,777000,16.1566215263488,TRUE,NA
"Beta right-high",10,304123,54,800,1050000,107580,52205,0.366021278206444,800,81,1050000,1037037.03703704,12.030833596093,TRUE,NA
"Beta right-high",10,304123,55,333,1050000,98871,53003,0.304272815222336,333,32,1050000,1092656.25,18.7433774150619,TRUE,NA
"Beta right-high",10,304123,55,800,1050000,98871,53003,0.363697794750595,800,77,1050000,1090909.09090909,12.2944823707041,TRUE,NA
"Beta right-high",10,304123,56,333,1050000,103581,52895,0.30452720904252,333,35,1050000,999000,18.0146740919102,TRUE,NA
"Beta right-high",10,304123,56,800,1050000,103581,52895,0.366739998480554,800,75,1050000,1120000,12.4345285486325,TRUE,NA
"Beta right-high",10,304123,57,333,1050000,101927,52180,0.307133890057508,333,36,1050000,971250,17.793031633233,TRUE,NA
