"scenario","ratio_value","x_stop","n_target_total","c_true","m_planned","m_eff","success_rate","failed_stop","zero_marker","mean_marker_total_actual","mean_target_band","mean_x_end","mean_n","mean_c_hat","c_jensen","rel_bias_raw","rel_bias_jensen","abs_rel_bias_jensen","mean_sigma","sigma_exact","signed_gap","absolute_gap","relative_gap","mc_se_mean_sigma"
"Beta centre-high",5,800,525000,525000,400,400,1,0,0,104973.845,7106.0475,0.289136695330163,159.1025,532408.680663553,527961.534231078,0.0141117726924823,0.00564101758300482,0.00564101758300482,9.19593723907319,9.53199841481084,-0.336061175737658,0.336061175737658,0.0352561090668548,0.0159015597768379
"Beta centre-high",10,800,1050000,1050000,400,400,1,0,0,104900.46,14218.0075,0.233519723868841,80.09,1065067.83168877,1048820.07741291,0.0143503158940705,-0.00112373579722807,0.00112373579722807,12.1514256571483,12.8279546847092,-0.676529027560917,0.676529027560917,0.0527386511871089,0.0324755886335686
"Beta right-high",1,800,105000,105000,400,400,1,0,0,105080.08,5254.265,0.603044506630813,795.7025,105949.57542275,105567.093228939,0.00904357545476038,0.00540088789465912,0.00540088789465912,5.82176494804078,6.16589598803678,-0.344131039996003,0.344131039996003,0.0558120086137836,0.00326923702221968
"Beta right-high",2,800,210000,210000,400,400,1,0,0,104904.365,10500.535,0.518283811845426,401.3225,210262.693286094,209307.975505983,0.00125092040997226,-0.00329535473341266,0.00329535473341266,6.80441824057242,6.75484863595099,0.0495696046214329,0.0495696046214329,0.00733837385453926,0.0061989389986035
"Beta right-high",5,800,525000,525000,400,400,1,0,0,104903.5675,26237.09,0.426005158504494,159.9425,530114.128408797,525188.739703331,0.00974119696913753,0.000359504196820781,0.000359504196820781,9.18051667966646,9.9216118385709,-0.741095158904443,0.741095158904443,0.0746950365487378,0.0166870951265309
"Beta right-high",10,800,1050000,1050000,400,400,1,0,0,105155.64,52538.605,0.368291698801692,80.035,1064775.29088186,1049540.82588867,0.0140717056017693,-0.000437308677453548,0.000437308677453548,12.1509505716885,12.5134085390752,-0.362457967386666,0.362457967386666,0.0289655665164956,0.0315644821977345
"Beta left-high",1,800,105000,105000,400,400,1,0,0,105016,5246.54,0.0741739773838854,799.8725,105365.705839343,105016.737042466,0.00348291275564767,0.000159400404439518,0.000159400404439518,5.81582413117187,5.83416601151462,-0.0183418803427484,0.0183418803427484,0.00314387357276908,0.00312359367799015
"Beta left-high",2,800,210000,210000,400,400,1,0,0,104937.7625,10505.21,0.0445195865379247,402.525,209691.010835522,208682.690516117,-0.00147137697370268,-0.00627290230420462,0.00627290230420462,6.79934875769224,6.95340468243038,-0.154055924738137,0.154055924738137,0.0221554665338838,0.00637958451802691
"Beta left-high",5,800,525000,525000,400,400,1,0,0,105009.24,26251.8375,0.0233724004168868,160.3525,528509.824205757,523845.901997163,0.00668537943953693,-0.00219828191016657,0.00219828191016657,9.17049740196759,9.52825901082648,-0.357761608858883,0.357761608858883,0.0375474269173809,0.0161431960652111
"Beta left-high",10,800,1050000,1050000,400,400,1,0,0,105090.755,52493.845,0.0145238854438947,79.68,1070241.8657549,1054216.86746988,0.0192779673856224,0.00401606425702794,0.00401606425702794,12.176906637706,12.8813979998446,-0.704491362138581,0.704491362138581,0.0546905981902805,0.032322682012456
